"Id";"Designator";"Footprint";"Quantity";"Designation";
11;"WIRJ4,SCRJ4,DIAJ4,BUTJ4,JOYJ4,USBJ4,BLKJ4,LIGJ4,BATJ4,TMPJ4,BEXJ4,SERJ4,LEDJ4,MATJ3,MOTJ4,BTSJ4,DISJ4";"swd_header";17;"swd_4pin";
12;"LEDR1,TMPR4,DIAR1,DIAR4,SERR5,LEDR2,DISR8,BUTR1,LIGR2,BEXR6,BLKR4,TMPR1,DISR10,SERR6,BLKR3,LEDR3,JOYR1,LEDR4,BLKR2,USBR7,MOTR4,BLKR1,BTSR2,MOTR2,SERR8,BTSR1,BUTR2,MOTR1,LIGR1,JOYR4,BATR2,LIGR3,LIGR4,BEXR7,BATR3,USBR4,DISR9,JOYR2,TMPR3,USBR5,MOTR3,BATR4,BEXR5,BTSR3,TMPR2,BATR1,DIAR2,BTSR4,BUTR3,DIAR3,BEXR8,DISR7,USBR6,BUTR4,JOYR3,SERR7,SCRR2,SCRR3,MATR1,SCRR1,MATR3,SCRR4,MATR5,MATR6";"R_0402_1005Metric";64;"75R";
13;"REF**,REF**,REF**,REF**";"Fiducial_1mm_Mask2mm";4;"Fiducial_1mm_Mask2mm";
14;"SERJ9,SERJ10,SERJ5,SERJ8,SERJ2,SERJ6,SERJ11,SERJ7";"PinHeader_1x03_P2.54mm_Vertical";8;"Conn_01x03_Pin";
15;"TMPU1";"Texas_PWSON-N6";1;"HDC1080";
16;"WIRR3,WIRR1,WIRR4,WIRR2";"R_0402_1005Metric";4;"120R";
17;"LEDIGNORE4,SERIGNORE3";"BoardText";2;"5V";
18;"MATD34,MATD48,MATD12,MATD2,MATD37,MATD47,MATD39,MATD42,MATD11,MATD3,MATD18,MATD16,MATD15,MATD29,MATD17,MATD38,MATD28,MATD4,MATD36,MATD43,MATD21,MATD14,MATD26,MATD24,MATD8,MATD22,MATD40,MATD32,MATD6,MATD10,MATD49,MATD44,MATD41,MATD35,MATD31,MATD33,MATD20,MATD30,MATD46,MATD9,MATD27,MATD13,MATD23,MATD1,MATD25,MATD19,MATD7,MATD5,MATD45";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";49;"WS2812B";
19;"MOTU1";"HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias";1;"DRV8833PWP";
20;"BATR13";"R_0805_2012Metric";1;"0.01R";
21;"BATQ6,BATQ2";"SOT-23";2;"PMOS_2A";
22;"DISC6,USBC6,USBC7,WIRC6,WIRC5,DISC7";"C_0402_1005Metric";6;"12pF";
